id,name,original_title,original_language,overview,genres,status,popularity,adult,vote_average,vote_count,release_date
2,"Shadows in Paradise","Varjoja paratiisissa",fi,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,11.876,,7.3,395,1986-10-17
3,"Four Rooms","Four Rooms",en,"It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.","[{""id"":35,""name"":""Comedy""}]",Released,19.585,,5.847,2626,1995-12-09
4,"Judgment Night","Judgment Night",en,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","[{""id"":28,""name"":""Action""},{""id"":80,""name"":""Crime""},{""id"":53,""name"":""Thriller""}]",Released,11.699,,6.48,331,1993-10-15
5,"Life in Loops (A Megacities RMX)","Life in Loops (A Megacities RMX)",en,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006","[{""id"":99,""name"":""Documentary""}]",Released,3.141,,7.3,28,2006-01-01
6,"Sunday in August","Sonntag im August",de,,"[{""id"":18,""name"":""Drama""}]",Released,2.576,,7.1,27,2004-09-02
7,"Star Wars","Star Wars",en,"Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","[{""id"":12,""name"":""Adventure""},{""id"":28,""name"":""Action""},{""id"":878,""name"":""Science Fiction""}]",Released,88.608,,8.204,20549,1977-05-25
8,"Finding Nemo","Finding Nemo",en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","[{""id"":16,""name"":""Animation""},{""id"":10751,""name"":""Family""}]",Released,101.453,,7.819,19187,2003-05-30
9,"Forrest Gump","Forrest Gump",en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","[{""id"":35,""name"":""Comedy""},{""id"":18,""name"":""Drama""},{""id"":10749,""name"":""Romance""}]",Released,107.33,,8.471,27410,1994-06-23
10,"American Beauty","American Beauty",en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","[{""id"":18,""name"":""Drama""}]",Released,36.689,,8.016,11989,1999-09-15
11,"Citizen Kane","Citizen Kane",en,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","[{""id"":9648,""name"":""Mystery""},{""id"":18,""name"":""Drama""}]",Released,28.225,,8,5489,1941-04-17
12,"Dancer in the Dark","Dancer in the Dark",en,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.","[{""id"":18,""name"":""Drama""},{""id"":80,""name"":""Crime""}]",Released,22.061,,7.9,1778,2000-09-01
